pr_number;created_at;merged_at;time_to_merge_hours;changed_files;lines_changed;total_comments;total_reviews;pr_title;pr_body;has_changes_requested;main_module;cross_modules;labels_list;inferred_task_type;commit_messages
141219;2026-01-23T21:52:25Z;2026-01-24T18:22:50Z;20,51;9;230;2;5;Precompute next and previous group ids for rate;"Today, during rate extrapolation, we access the previous and next groups to find adjacent data points. This process can be slow with many groups; for example, with 1.7M groups, it can take several seconds.This change iterates through the groups once to populate the previous and next group links, avoiding redundant work.Benchmarking with 10k_hosts_rate_5m shows execution time reduced from 54s to 43s, and the emit process from 26.8s to 15s. It remains slow, though.We should consider computing rates concurrently among groups if the number of entries exceeds 100k.";FALSE;x-pack;x-pack;>non-issue, Team:StorageEngine, :StorageEngine/ES|QL, v9.4.0;other;Precompute next and prev groups for rate | simplify | check | more test
141201;2026-01-23T18:03:23Z;2026-01-24T17:05:38Z;23,04;58;2576;1;0;[9.3] Quantize ST_X, ST_Y and related functions (#140963);Manual backport of #140963;FALSE;docs;docs, x-pack;>bug, :Analytics/Geo, backport pending, backport, Team:Analytics, auto-merge-without-approval, auto-backport, :Analytics/ES|QL, v9.3.1, v9.2.5;other;Quantize ST_X, ST_Y and related functions (#140963)  Recent [optimizations in geo-grid functions](https://github.com/elastic/elasticsearch/pull/138917) exposed some inconsistencies in other spatial functions that can return results either quantized (doc-values or lucene index) or not (source).  ES|QL typically returns fields from doc-values, for performance reasons. However, for geospatial point data, this means a slight loss of precision, because geo_point and cartesian_point are quantized from two doubles (128bits) down to one long (64bits), in both doc-values and the lucene index (but not stored fields, or source). For all real-world use cases the remaining precision is fine, and something most users are willing to trade for the performance advantages. However, that willingness usually only extends to analytics, and if the user simply returns the original field, they usually want to see the exact original values. For this reason geospatial data is always returned from source in ES|QL, at a huge performance hit. However, we have implemented a number of optimizations that try to make use of doc-values whenever possible, and whenever the user does not return the original points so they will not see the precision loss. As we've expanded the scope of these optimizations, we've encountered a BWC issue with two particular functions, ST_X and ST_Y (both GA), and a less concerning issue with a group of related functions (tech-preview): ST_ENVELOPE, ST_XMAX, ST_XMIN, ST_YMAX and ST_YMIN.  This PR fixes the inconsistency, making ST_X, ST_Y and the envelope functions all produce quantized results, so optimizations do not result in different values.  Users can still get the original values with full prevision simply by not dropping the original geometry field, which will still be read from source. This gives users control over the precision-vs-performance lever. Just drop the original field to maximize performance, or keep it to see the original precision. | Merge branch '9.3' into 9.3_quantize_st_xy
141229;2026-01-24T00:08:58Z;2026-01-24T04:17:33Z;4,14;13;769;4;0;"Revert ""Partition time-series source (#140475)""";The competitive benchmark shows a significant performance regression from #140475. This is likely due to the high number of CPUs in the benchmark, which results in many small slices and adds significant overhead.It is better to revert this change for now and adjust the partitioning for cases with high CPU and more than one shard before merging again.Relates #140475;FALSE;docs;docs, x-pack;>non-issue, backport pending, auto-merge-without-approval, auto-backport, Team:StorageEngine, :StorageEngine/ES|QL, v9.3.1, v9.4.0;other;"Revert ""Partition time-series source (#140475)""  This reverts commit 54ee110805decbd6348fd9c35c0cf19653c1759e."
141232;2026-01-24T04:33:14Z;2026-01-24T05:42:51Z;1,16;13;769;0;0;"[9.3] Revert ""Partition time-series source (#140475)"" (#141229)";"BackportThis will backport the following commits from main to 9.3:Revert ""Partition time-series source (#140475)"" (#141229)Questions ?Please refer to the Backport tool documentation";FALSE;docs;docs, x-pack;backport, auto-merge-without-approval, v9.3.1;other;"Revert ""Partition time-series source (#140475)"" (#141229)  The competitive benchmark shows a significant performance regression from #140475. This is likely due to the high number of CPUs in the benchmark, which results in many small slices and adds significant overhead.  It is better to revert this change for now and adjust the partitioning for cases with high CPU and more than one shard before merging again.  Relates #14047  (cherry picked from commit 1146b88760452c0641a27ebb06d6d074ee5283ca)  # Conflicts: #	x-pack/plugin/esql/qa/testFixtures/src/main/resources/k8s-timeseries.csv-spec"
140967;2026-01-20T13:39:13Z;2026-01-24T02:43:15Z;85,07;2;8;1;0;Update wolfi (versioned) (main);"This PR contains the following updates:PackageTypeUpdateChangedocker.elastic.co/wolfi/chainguard-basefinaldigest5bb6cf5 -> 2eae982docker.elastic.co/wolfi/chainguard-basestagedigest5bb6cf5 -> 2eae982docker.elastic.co/wolfi/chainguard-base-fipsfinaldigestdda0bd7 -> c756ffedocker.elastic.co/wolfi/chainguard-base-fipsstagedigestdda0bd7 -> c756ffeConfiguration📅 Schedule: Branch creation - ""after 1pm on tuesday"" (UTC), Automerge - At any time (no schedule defined).🚦 Automerge: Disabled by config. Please merge this manually once you are satisfied.♻ Rebasing: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.👻 Immortal: This PR will be recreated if closed unmerged. Get config help if that's undesired. If you want to rebase/retry this PR, check this boxThis PR has been generated by Renovate Bot.";FALSE;distribution;distribution;>non-issue, :Delivery/Build, :Delivery/Packaging, Team:Delivery, auto-merge-without-approval, v9.4.0;other;Update wolfi (versioned)
141220;2026-01-23T22:36:00Z;2026-01-24T00:43:29Z;2,12;4;478;0;0;[9.3] Allow resolveTransportVersionConflict to run without compilation (#140851);Backports the following commits to 9.3:Allow resolveTransportVersionConflict to run without compilation (#140851);FALSE;build-tools-internal;build-tools-internal;:Core/Infra/Core, >refactoring, backport, Team:Core/Infra, auto-merge-without-approval, serverless-linked, v9.3.1;other;Allow resolveTransportVersionConflict to run without compilation (#140851)  Transport version generation relies on finding uses of `TransportVersion.fromName` to identify the definition name to generate. In the case of resolving a merge conflict, a definition has already been generated, and the merge base is used to find differences in definition files. So in the resolve conflict case, we don't actually need to find uses of `TransportVersion.fromName`, and thus don't need compilation.  This commit moves most of the logic from the generate task into a base class, which is then specialized by the normal generation task and the resolve conflict task. By avoiding compilation running resolveTransportVersionConflict should be much faster, and can run even if there are other merge conflicts which may break compilation.  relates ES-14006
141223;2026-01-23T22:41:27Z;2026-01-23T23:53:27Z;1,20;4;478;0;0;[9.2] Allow resolveTransportVersionConflict to run without compilation (#140851);Transport version generation relies on finding uses of TransportVersion.fromName to identify the definition name to generate. In the case of resolving a merge conflict, a definition has already been generated, and the merge base is used to find differences in definition files. So in the resolve conflict case, we don't actually need to find uses of TransportVersion.fromName, and thus don't need compilation.This commit moves most of the logic from the generate task into a base class, which is then specialized by the normal generation task and the resolve conflict task. By avoiding compilation running resolveTransportVersionConflict should be much faster, and can run even if there are other merge conflicts which may break compilation.relates ES-14006;FALSE;build-tools-internal;build-tools-internal;backport, auto-merge-without-approval, v9.2.5;other;Allow resolveTransportVersionConflict to run without compilation (#140851)  Transport version generation relies on finding uses of `TransportVersion.fromName` to identify the definition name to generate. In the case of resolving a merge conflict, a definition has already been generated, and the merge base is used to find differences in definition files. So in the resolve conflict case, we don't actually need to find uses of `TransportVersion.fromName`, and thus don't need compilation.  This commit moves most of the logic from the generate task into a base class, which is then specialized by the normal generation task and the resolve conflict task. By avoiding compilation running resolveTransportVersionConflict should be much faster, and can run even if there are other merge conflicts which may break compilation.  relates ES-14006
141222;2026-01-23T22:37:57Z;2026-01-23T23:45:12Z;1,12;4;478;0;0;[9.3] Allow resolveTransportVersionConflict to run without compilation (#140851);Transport version generation relies on finding uses of TransportVersion.fromName to identify the definition name to generate. In the case of resolving a merge conflict, a definition has already been generated, and the merge base is used to find differences in definition files. So in the resolve conflict case, we don't actually need to find uses of TransportVersion.fromName, and thus don't need compilation.This commit moves most of the logic from the generate task into a base class, which is then specialized by the normal generation task and the resolve conflict task. By avoiding compilation running resolveTransportVersionConflict should be much faster, and can run even if there are other merge conflicts which may break compilation.relates ES-14006;FALSE;build-tools-internal;build-tools-internal;backport, auto-merge-without-approval;other;Allow resolveTransportVersionConflict to run without compilation (#140851)  Transport version generation relies on finding uses of `TransportVersion.fromName` to identify the definition name to generate. In the case of resolving a merge conflict, a definition has already been generated, and the merge base is used to find differences in definition files. So in the resolve conflict case, we don't actually need to find uses of `TransportVersion.fromName`, and thus don't need compilation.  This commit moves most of the logic from the generate task into a base class, which is then specialized by the normal generation task and the resolve conflict task. By avoiding compilation running resolveTransportVersionConflict should be much faster, and can run even if there are other merge conflicts which may break compilation.  relates ES-14006
141221;2026-01-23T22:36:22Z;2026-01-23T23:45:12Z;1,15;4;478;0;0;[9.2] Allow resolveTransportVersionConflict to run without compilation (#140851);Backports the following commits to 9.2:Allow resolveTransportVersionConflict to run without compilation (#140851);FALSE;build-tools-internal;build-tools-internal;:Core/Infra/Core, >refactoring, backport, Team:Core/Infra, auto-merge-without-approval, serverless-linked, v9.2.5;other;Allow resolveTransportVersionConflict to run without compilation (#140851)  Transport version generation relies on finding uses of `TransportVersion.fromName` to identify the definition name to generate. In the case of resolving a merge conflict, a definition has already been generated, and the merge base is used to find differences in definition files. So in the resolve conflict case, we don't actually need to find uses of `TransportVersion.fromName`, and thus don't need compilation.  This commit moves most of the logic from the generate task into a base class, which is then specialized by the normal generation task and the resolve conflict task. By avoiding compilation running resolveTransportVersionConflict should be much faster, and can run even if there are other merge conflicts which may break compilation.  relates ES-14006
140851;2026-01-17T00:28:27Z;2026-01-23T21:10:48Z;164,71;4;478;2;1;Allow resolveTransportVersionConflict to run without compilation;Transport version generation relies on finding uses of TransportVersion.fromName to identify the definition name to generate. In the case of resolving a merge conflict, a definition has already been generated, and the merge base is used to find differences in definition files. So in the resolve conflict case, we don't actually need to find uses of TransportVersion.fromName, and thus don't need compilation.This commit moves most of the logic from the generate task into a base class, which is then specialized by the normal generation task and the resolve conflict task. By avoiding compilation running resolveTransportVersionConflict should be much faster, and can run even if there are other merge conflicts which may break compilation.relates ES-14006;FALSE;build-tools-internal;build-tools-internal;:Core/Infra/Core, backport pending, >refactoring, Team:Core/Infra, auto-backport, serverless-linked, v9.3.1, v9.4.0, v8.19.11, v9.2.5;other;Allow resolveTransportVersionConflict to run without compilation  Transport version generation relies on finding uses of `TransportVersion.fromName` to identify the definition name to generate. In the case of resolving a merge conflict, a definition has already been generated, and the merge base is used to find differences in definition files. So in the resolve conflict case, we don't actually need to find uses of `TransportVersion.fromName`, and thus don't need compilation.  This commit moves most of the logic from the generate task into a base class, which is then specialized by the normal generation task and the resolve conflict task. By avoiding compilation running resolveTransportVersionConflict should be much faster, and can run even if there are other merge conflicts which may break compilation.  relates ES-14006 | Merge branch 'main' into transport/resolve_conflict_without_compile | Merge branch 'main' into transport/resolve_conflict_without_compile | address feedback | fix oops | [CI] Auto commit changes from spotless | Merge branch 'main' into transport/resolve_conflict_without_compile
